epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,15351.5,0.14808,0.12084,0.80511,0.99965,0.99984,0.99497,0.99454,0.0599,0.06506,0.85712,0.003367,0.003367,0.003367
69,16125.3,0.14714,0.11953,0.8046,0.99967,0.99984,0.99498,0.99454,0.05981,0.06536,0.85705,0.003268,0.003268,0.003268
70,16893,0.14561,0.11871,0.80431,0.99966,0.99982,0.99498,0.99453,0.05948,0.06506,0.85698,0.003169,0.003169,0.003169
71,17587.7,0.14483,0.11832,0.80435,0.99966,0.99982,0.99498,0.99453,0.05933,0.06418,0.85694,0.00307,0.00307,0.00307
72,18272.4,inf,0.11774,0.8044,0.99966,0.99983,0.99497,0.99453,0.05915,0.0641,0.85687,0.002971,0.002971,0.002971
73,18971.8,0.14422,0.11763,0.80423,0.99966,0.99983,0.99497,0.99453,0.05905,0.06418,0.8568,0.002872,0.002872,0.002872
74,19719,0.14348,0.11704,0.80409,0.99967,0.99982,0.99497,0.99453,0.05879,0.0637,0.85675,0.002773,0.002773,0.002773
75,20439.1,0.14218,0.11551,0.80447,0.99966,0.99984,0.99497,0.99454,0.05853,0.06296,0.8567,0.002674,0.002674,0.002674
76,21121,0.14168,0.11526,0.80373,0.99966,0.99986,0.99498,0.99454,0.05837,0.06282,0.85665,0.002575,0.002575,0.002575
77,21820.3,0.13964,0.11395,0.80365,0.99965,0.99986,0.99497,0.99454,0.05822,0.06365,0.85656,0.002476,0.002476,0.002476
78,22520.7,0.13979,0.11409,0.80385,0.99968,0.99985,0.99498,0.99454,0.05811,0.06267,0.85654,0.002377,0.002377,0.002377
79,23209.1,0.13902,0.11372,0.80387,0.99968,0.99985,0.99497,0.99455,0.05821,0.06311,0.85644,0.002278,0.002278,0.002278
80,23925.7,inf,0.11231,0.80337,0.99969,0.99986,0.99497,0.99455,0.05834,0.06292,0.85639,0.002179,0.002179,0.002179
81,24673,0.13656,0.11142,0.80324,0.99969,0.99986,0.99497,0.99455,0.05813,0.06308,0.85633,0.00208,0.00208,0.00208
82,25431.5,0.13547,0.11009,0.80339,0.99968,0.99986,0.99497,0.99455,0.05821,0.06252,0.85626,0.001981,0.001981,0.001981
83,26166.3,0.13459,0.10977,0.80274,0.99967,0.99987,0.99497,0.99456,0.05816,0.06203,0.8562,0.001882,0.001882,0.001882
84,26868.8,0.13355,0.10888,0.80303,0.99967,0.99986,0.99497,0.99456,0.05816,0.0621,0.85611,0.001783,0.001783,0.001783
85,27538.6,0.13363,0.10881,0.80304,0.99967,0.99987,0.99497,0.99456,0.0582,0.06206,0.85605,0.001684,0.001684,0.001684
86,28231.9,0.1324,0.10819,0.80313,0.99967,0.99987,0.99497,0.99456,0.05808,0.06185,0.85601,0.001585,0.001585,0.001585
87,28924.2,0.13104,0.10679,0.80259,0.99967,0.99987,0.99497,0.99456,0.05787,0.06207,0.85594,0.001486,0.001486,0.001486
88,29597.6,0.13,0.10564,0.80248,0.99967,0.99987,0.99497,0.99457,0.05757,0.06184,0.85583,0.001387,0.001387,0.001387
89,30263,inf,0.10523,0.80201,0.99965,0.99988,0.99497,0.99457,0.05703,0.06109,0.85576,0.001288,0.001288,0.001288
90,30960,0.12805,0.10396,0.80188,0.99966,0.99988,0.99497,0.99457,0.05708,0.06125,0.85568,0.001189,0.001189,0.001189
91,31760.9,0.09131,0.0702,0.77967,0.99963,0.99992,0.99497,0.99457,0.05706,0.06118,0.85558,0.00109,0.00109,0.00109
92,32447,0.08822,0.06741,0.77931,0.99965,0.99992,0.99496,0.99456,0.05687,0.06118,0.85546,0.000991,0.000991,0.000991
93,33142.6,0.08661,0.06547,0.77989,0.99968,0.9999,0.99496,0.99457,0.05662,0.06067,0.85538,0.000892,0.000892,0.000892
94,33822.1,0.08549,0.06471,0.77931,0.99966,0.99991,0.99496,0.99457,0.05654,0.06098,0.85522,0.000793,0.000793,0.000793
95,34544.7,0.0842,0.06338,0.77895,0.99967,0.99991,0.99496,0.99458,0.05635,0.06099,0.85507,0.000694,0.000694,0.000694
96,35311.2,0.08292,0.06246,0.77878,0.99969,0.9999,0.99496,0.99459,0.05608,0.06052,0.85495,0.000595,0.000595,0.000595
97,35992.2,0.08156,0.06138,0.7789,0.99968,0.9999,0.99496,0.99461,0.05581,0.06018,0.85485,0.000496,0.000496,0.000496
98,36667.6,0.0803,0.05931,0.77839,0.99966,0.99991,0.99496,0.99463,0.0555,0.05943,0.85475,0.000397,0.000397,0.000397
99,37346.8,0.07868,0.05782,0.77849,0.99966,0.99992,0.99496,0.99466,0.05509,0.05977,0.85463,0.000298,0.000298,0.000298
100,38020.9,0.07758,0.05683,0.77812,0.99966,0.99993,0.99496,0.99465,0.05458,0.05952,0.85451,0.000199,0.000199,0.000199
